ProviderId,DataYear,FiscalYear,AHRQ_PSI_90_Score,CLABSI_Score,CAUTI_Score,SSI_Score
030108,2014,2015,1,Not Available,Not Available,NULL
030108,2015,2016,3,Not Available,Not Available,Not Available
030108,2016,2016,3.0000,N/A,N/A,N/A
030110,2014,2015,7,4,4,NULL
030110,2015,2016,8,8,7,8
030110,2016,2016,8.0000,8,7,8
030111,2014,2015,10,2,3,NULL
030111,2015,2016,10,3,4,10
030111,2016,2016,10.0000,3,4,10
030112,2014,2015,8,Not Available,Not Available,NULL
030112,2015,2016,9,Not Available,Not Available,Not Available
030112,2016,2016,9.0000,N/A,N/A,N/A
030113,2014,2015,6,Not Available,Not Available,NULL
030113,2015,2016,6,Not Available,Not Available,10
030113,2016,2016,6.0000,N/A,N/A,10
030114,2014,2015,5,7,3,NULL
030114,2015,2016,8,7,4,3
030114,2016,2016,8.0000,7,4,3
030115,2014,2015,3,5,2,NULL
030115,2015,2016,3,6,4,6
030115,2016,2016,3.0000,6,4,6
030117,2014,2015,2,1,1,NULL
030117,2015,2016,3,1,1,Not Available
030117,2016,2016,3.0000,1,1,N/A
030118,2014,2015,3,Not Available,Not Available,NULL
030118,2015,2016,9,Not Available,Not Available,Not Available
030118,2016,2016,9.0000,N/A,N/A,N/A
030119,2014,2015,10,10,7,NULL
030119,2015,2016,5,7,4,9
030119,2016,2016,5.0000,7,4,9
030120,2014,2015,4,Not Available,Not Available,NULL
030120,2015,2016,5,Not Available,Not Available,Not Available
030120,2016,2016,5.0000,N/A,N/A,N/A
030121,2014,2015,10,5,5,NULL
030121,2015,2016,10,6,4,2
030121,2016,2016,10.0000,6,4,2
030122,2014,2015,10,5,8,NULL
030122,2015,2016,9,4,8,4
030122,2016,2016,9.0000,4,8,4
030123,2014,2015,3,9,7,NULL
030123,2015,2016,3,10,5,8
030123,2016,2016,3.0000,10,5,8
030130,2014,2015,9,Not Available,Not Available,NULL
030130,2015,2016,8,Not Available,Not Available,10
030130,2016,2016,8.0000,N/A,N/A,10
030131,2014,2015,2,Not Available,Not Available,NULL
030131,2015,2016,1,Not Available,Not Available,Not Available
030131,2016,2016,1.0000,N/A,N/A,N/A
030132,2014,2015,8,Not Available,Not Available,NULL
030132,2015,2016,9,Not Available,Not Available,Not Available
030132,2016,2016,9.0000,N/A,N/A,N/A
030134,2014,2015,Not Available,Not Available,Not Available,NULL
030134,2015,2016,6,Not Available,Not Available,Not Available
030134,2016,2016,6.0000,N/A,N/A,N/A
030136,2015,2016,Not Available,Not Available,Not Available,Not Available
030136,2016,2016,N/A,N/A,N/A,N/A
030137,2016,2016,N/A,N/A,N/A,N/A
040001,2014,2015,2,Not Available,1,NULL
040001,2015,2016,5,Not Available,1,10
040001,2016,2016,5.0000,N/A,1,10
040002,2014,2015,5,Not Available,1,NULL
040002,2015,2016,4,Not Available,1,Not Available
040002,2016,2016,4.0000,N/A,1,N/A
040004,2014,2015,2,9,10,NULL
040004,2015,2016,3,9,9,8
040004,2016,2016,3.0000,9,9,8
040007,2014,2015,4,6,4,NULL
040007,2015,2016,5,8,5,3
040007,2016,2016,5.0000,8,5,3
040010,2014,2015,10,8,3,NULL
040010,2015,2016,10,3,3,7
040010,2016,2016,10.0000,3,3,7
040011,2014,2015,9,Not Available,Not Available,NULL
040011,2015,2016,9,Not Available,Not Available,Not Available
040011,2016,2016,9.0000,N/A,N/A,N/A
040014,2014,2015,3,7,6,NULL
040014,2015,2016,3,1,2,2
040014,2016,2016,3.0000,1,2,2
040015,2014,2015,6,Not Available,1,NULL
040015,2015,2016,6,Not Available,Not Available,Not Available
040015,2016,2016,6.0000,N/A,N/A,N/A
040016,2014,2015,10,6,8,NULL
040016,2015,2016,10,5,7,5
040016,2016,2016,10.0000,5,7,5
040017,2014,2015,8,Not Available,1,NULL
040017,2015,2016,8,Not Available,Not Available,3
040017,2016,2016,8.0000,N/A,N/A,3
040018,2014,2015,10,Not Available,1,NULL
040018,2015,2016,7,Not Available,1,Not Available
040018,2016,2016,7.0000,N/A,1,N/A
040019,2014,2015,3,Not Available,Not Available,NULL
040019,2015,2016,8,Not Available,Not Available,1
040019,2016,2016,8.0000,N/A,N/A,1
040020,2014,2015,9,9,10,NULL
040020,2015,2016,10,10,10,7
040020,2016,2016,10.0000,10,10,7
040022,2014,2015,4,8,3,NULL
040022,2015,2016,2,9,4,5
040022,2016,2016,2.0000,9,4,5
040026,2014,2015,2,3,8,NULL
040026,2015,2016,1,5,9,4
040026,2016,2016,1.0000,5,9,4
040027,2014,2015,1,1,8,NULL
040027,2015,2016,1,1,6,8
040027,2016,2016,1.0000,1,6,8
040029,2014,2015,1,5,8,NULL
040029,2015,2016,1,1,4,3
040029,2016,2016,1.0000,1,4,3
040036,2014,2015,6,10,8,NULL
040036,2015,2016,2,10,6,4
040036,2016,2016,2.0000,10,6,4
040039,2014,2015,8,Not Available,4,NULL
040039,2015,2016,8,Not Available,1,1
040039,2016,2016,8.0000,N/A,1,1
040041,2014,2015,4,1,3,NULL
040041,2015,2016,2,1,1,4
040041,2016,2016,2.0000,1,1,4
040042,2014,2015,5,5,5,NULL
040047,2014,2015,6,Not Available,Not Available,NULL
040047,2015,2016,6,Not Available,Not Available,Not Available
040047,2016,2016,6.0000,N/A,N/A,N/A
040050,2014,2015,5,Not Available,1,NULL
040050,2015,2016,3,Not Available,1,4
040050,2016,2016,3.0000,N/A,1,4
040051,2014,2015,4,Not Available,Not Available,NULL
040051,2015,2016,4,Not Available,Not Available,Not Available
040051,2016,2016,4.0000,N/A,N/A,N/A
040055,2014,2015,6,6,4,NULL
040055,2015,2016,3,9,3,9
040055,2016,2016,3.0000,9,3,9
040062,2014,2015,2,4,9,NULL
040062,2015,2016,2,6,9,3
040062,2016,2016,2.0000,6,9,3
040067,2014,2015,4,Not Available,1,NULL
040067,2015,2016,3,Not Available,1,Not Available
040067,2016,2016,3.0000,N/A,1,N/A
040069,2014,2015,4,Not Available,Not Available,NULL
040069,2015,2016,5,Not Available,Not Available,Not Available
040069,2016,2016,5.0000,N/A,N/A,N/A
040071,2014,2015,2,3,4,NULL
040071,2015,2016,1,3,2,2
040071,2016,2016,1.0000,3,2,2
040072,2014,2015,7,Not Available,Not Available,NULL
040072,2015,2016,4,Not Available,Not Available,Not Available
040072,2016,2016,4.0000,N/A,N/A,N/A
040074,2014,2015,3,Not Available,3,NULL
040074,2015,2016,7,Not Available,8,Not Available
040074,2016,2016,7.0000,N/A,8,N/A
040076,2014,2015,3,Not Available,9,NULL
040076,2015,2016,4,Not Available,10,Not Available
040076,2016,2016,4.0000,N/A,10,N/A
040078,2014,2015,1,10,8,NULL
040078,2015,2016,3,10,10,10
040078,2016,2016,3.0000,10,10,10
040080,2014,2015,5,Not Available,10,NULL
040080,2015,2016,6,Not Available,6,Not Available
040080,2016,2016,6.0000,N/A,6,N/A
040084,2014,2015,1,9,7,NULL
040084,2015,2016,1,6,4,6
040084,2016,2016,1.0000,6,4,6
040085,2014,2015,4,Not Available,1,NULL
040085,2015,2016,4,Not Available,1,Not Available
040085,2016,2016,4.0000,N/A,1,N/A
040088,2014,2015,1,4,2,NULL
040088,2015,2016,1,8,3,10
040088,2016,2016,1.0000,8,3,10
040114,2014,2015,3,7,9,NULL
040114,2015,2016,3,6,8,7
040114,2016,2016,3.0000,6,8,7
040118,2014,2015,2,8,4,NULL
040118,2015,2016,1,10,5,8
040118,2016,2016,1.0000,10,5,8
040119,2014,2015,10,6,7,NULL
040119,2015,2016,10,9,5,9
040119,2016,2016,10.0000,9,5,9
040132,2014,2015,Not Available,Not Available,Not Available,NULL
040132,2015,2016,Not Available,Not Available,Not Available,Not Available
040132,2016,2016,N/A,N/A,N/A,N/A
040134,2014,2015,1,4,7,NULL
040134,2015,2016,1,5,5,Not Available
040134,2016,2016,1.0000,5,5,N/A
040137,2014,2015,7,Not Available,1,NULL
040137,2015,2016,9,Not Available,1,1
040137,2016,2016,9.0000,N/A,1,1
040147,2014,2015,1,Not Available,Not Available,NULL
040147,2015,2016,1,Not Available,Not Available,Not Available
040147,2016,2016,1.0000,N/A,N/A,N/A
040152,2014,2015,9,Not Available,Not Available,NULL
040152,2015,2016,8,Not Available,Not Available,Not Available
040152,2016,2016,8.0000,N/A,N/A,N/A
040153,2014,2015,6,Not Available,Not Available,NULL
040153,2015,2016,5,Not Available,8,Not Available
040153,2016,2016,5.0000,N/A,8,N/A
050002,2014,2015,6,5,4,NULL
050002,2015,2016,5,5,6,6
050002,2016,2016,5.0000,5,6,6
050006,2014,2015,2,6,5,NULL
050006,2015,2016,1,4,7,8
050006,2016,2016,1.0000,4,7,8
050007,2014,2015,10,2,8,NULL
050007,2015,2016,10,3,7,5
050007,2016,2016,10.0000,3,7,5
050008,2014,2015,9,3,6,NULL
050008,2015,2016,8,7,10,Not Available
050008,2016,2016,8.0000,7,10,N/A
050009,2014,2015,9,10,10,NULL
050009,2015,2016,10,10,10,5
050009,2016,2016,10.0000,10,10,5
050013,2014,2015,9,7,10,NULL
050013,2015,2016,9,10,8,1
050013,2016,2016,9.0000,10,8,1
050014,2014,2015,6,1,4,NULL
050014,2015,2016,9,1,1,4
050014,2016,2016,9.0000,1,1,4
050017,2014,2015,9,1,2,NULL
050017,2015,2016,9,1,5,9
050017,2016,2016,9.0000,1,5,9
050018,2014,2015,1,1,10,NULL
050018,2015,2016,1,8,7,5
050018,2016,2016,1.0000,8,7,5
050022,2014,2015,4,4,8,NULL
050022,2015,2016,5,5,7,9
050022,2016,2016,5.0000,5,7,9
050024,2014,2015,1,10,3,NULL
050024,2015,2016,1,10,6,Not Available
050024,2016,2016,1.0000,10,6,N/A
050025,2014,2015,5,8,10,NULL
050025,2015,2016,8,8,9,10
050025,2016,2016,8.0000,8,9,10
050026,2014,2015,10,3,2,NULL
050026,2015,2016,7,3,5,3
050026,2016,2016,7.0000,3,5,3
050028,2014,2015,3,1,1,NULL
050028,2015,2016,7,1,1,Not Available
050028,2016,2016,7.0000,1,1,N/A
050030,2014,2015,6,10,1,NULL
050030,2015,2016,2,10,2,9
050030,2016,2016,2.0000,10,2,9
050036,2014,2015,9,3,9,NULL
050036,2015,2016,5,3,5,3
050036,2016,2016,5.0000,3,5,3
050038,2014,2015,9,4,5,NULL
050038,2015,2016,8,3,6,10
