ProviderId,DataYear,MSPB_1_Score,MeasureStartDate,MeasureEndDate
010118,2013,0.99,NULL,NULL
010118,2014,0.99,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010118,2015,0.98,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010118,2016,0.98,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010120,2012,0.98,NULL,NULL
010120,2013,1.04,NULL,NULL
010120,2014,1.03,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010120,2015,0.97,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010120,2016,0.97,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010125,2012,0.94,NULL,NULL
010125,2013,0.95,NULL,NULL
010125,2014,0.93,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010125,2015,0.90,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010125,2016,0.90,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010126,2012,0.97,NULL,NULL
010126,2013,0.97,NULL,NULL
010126,2014,0.92,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010126,2015,0.99,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010126,2016,0.99,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010128,2012,0.96,NULL,NULL
010128,2013,0.98,NULL,NULL
010128,2014,0.93,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010128,2015,0.83,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010128,2016,0.83,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010129,2012,0.87,NULL,NULL
010129,2013,0.86,NULL,NULL
010129,2014,0.85,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010129,2015,0.96,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010129,2016,0.96,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010130,2012,0.95,NULL,NULL
010130,2013,0.92,NULL,NULL
010130,2014,0.91,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010130,2015,0.85,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010130,2016,0.85,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010131,2012,0.99,NULL,NULL
010131,2013,0.97,NULL,NULL
010131,2014,0.99,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010131,2015,0.98,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010131,2016,0.98,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010137,2012,0.97,NULL,NULL
010138,2012,1.1,NULL,NULL
010138,2013,1.05,NULL,NULL
010138,2014,0.99,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010138,2015,0.95,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010138,2016,0.95,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010139,2012,1.04,NULL,NULL
010139,2013,1.04,NULL,NULL
010139,2014,1.02,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010139,2015,1.02,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010139,2016,1.02,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010144,2012,0.99,NULL,NULL
010144,2013,1.01,NULL,NULL
010144,2014,1.00,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010144,2015,0.97,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010144,2016,0.97,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010146,2012,1.06,NULL,NULL
010146,2013,0.96,NULL,NULL
010146,2014,1.07,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010146,2015,1.08,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010146,2016,1.08,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010148,2012,0.92,NULL,NULL
010148,2013,0.91,NULL,NULL
010148,2014,0.88,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010148,2015,0.85,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010148,2016,0.85,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010149,2012,1.01,NULL,NULL
010149,2013,0.98,NULL,NULL
010149,2014,1.00,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010149,2015,0.95,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
