ProviderId,DataYear,PAYM_30_AMI_Payment,PAYM_30_HF_Payment,PAYM_30_PN_Payment,PAYM_30_AMI_LowerEstimate,PAYM_30_HF_LowerEstimate,PAYM_30_PN_LowerEstimate,PAYM_30_AMI_HigherEstimate,PAYM_30_HF_HigherEstimate,PAYM_30_PN_HigherEstimate,PAYM_30_AMI_Denominator,PAYM_30_HF_Denominator,PAYM_30_PN_Denominator,PAYM_30_AMI_NationalComparisonCategory,PAYM_30_HF_NationalComparisonCategory,PAYM_30_PN_NationalComparisonCategory
450605,2015,Not Available,"$14,626","$13,356",Not Available,"$12,774","$11,843",Not Available,"$16,662","$14,929",Not Available,74,98,Number of Cases Too Small,No Different than the National Average Payment,No Different than the National Average Payment
45060F,2014,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Missing,NULL,NULL
450610,2015,"$22,299","$19,078","$17,610","$20,569","$17,989","$16,629","$24,038","$20,237","$18,501",273,517,508,No Different than the National Average Payment,Greater than the National Average Payment,Greater than the National Average Payment
450620,2014,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Number of Cases Too Small,NULL,NULL
450634,2015,"$25,329","$18,330","$17,066","$23,247","$16,852","$15,990","$27,873","$19,916","$18,093",217,252,344,Greater than the National Average Payment,Greater than the National Average Payment,Greater than the National Average Payment
450639,2014,23913,NULL,NULL,21641,NULL,NULL,26212,NULL,NULL,168,NULL,NULL,Greater than the National Average Payment,NULL,NULL
450641,2015,Not Available,"$14,754","$13,006",Not Available,"$12,589","$11,580",Not Available,"$17,170","$14,467",Not Available,39,106,Number of Cases Too Small,No Different than the National Average Payment,No Different than the National Average Payment
450644,2014,23762,NULL,NULL,21318,NULL,NULL,26553,NULL,NULL,112,NULL,NULL,Greater than the National Average Payment,NULL,NULL
450647,2016,"$23,701","$19,937","$16,828","$21,694","$18,745","$15,650","$26,055","$21,300","$17,987",161,431,294,No Different than the National Average Payment,Greater than the National Average Payment,Greater than the National Average Payment
450651,2016,"$24,786","$17,371","$15,784","$22,685","$16,146","$14,787","$27,023","$18,648","$16,756",198,318,370,No Different than the National Average Payment,Greater than the National Average Payment,No Different than the National Average Payment
450653,2014,21668,NULL,NULL,18673,NULL,NULL,25281,NULL,NULL,29,NULL,NULL,No Different than the National Average Payment,NULL,NULL
450656,2016,"$21,007","$15,665","$14,586","$18,546","$13,998","$13,183","$23,697","$17,460","$15,970",62,109,146,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
450658,2014,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Number of Cases Too Small,NULL,NULL
450659,2014,22242,NULL,NULL,19047,NULL,NULL,25815,NULL,NULL,38,NULL,NULL,No Different than the National Average Payment,NULL,NULL
450661,2014,22747,NULL,NULL,20613,NULL,NULL,25306,NULL,NULL,126,NULL,NULL,No Different than the National Average Payment,NULL,NULL
450669,2016,"$24,394","$16,941","$16,699","$21,879","$15,381","$15,271","$27,186","$18,629","$18,122",122,163,184,No Different than the National Average Payment,No Different than the National Average Payment,Greater than the National Average Payment
45066F,2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
450670,2016,"$24,356","$17,592","$17,014","$22,212","$16,530","$16,078","$26,794","$18,765","$18,025",167,438,467,No Different than the National Average Payment,Greater than the National Average Payment,Greater than the National Average Payment
450674,2014,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL
360051,2015,"$21,489","$16,490","$15,532","$20,283","$15,620","$14,772","$22,836","$17,428","$16,358",444,588,581,No Different than the National Average Payment,Greater than the National Average Payment,Greater than the National Average Payment
360052,2016,"$23,784","$17,665","$17,701","$22,225","$16,684","$16,527","$25,360","$18,765","$18,845",385,545,318,No Different than the National Average Payment,Greater than the National Average Payment,Greater than the National Average Payment
360054,2016,"$25,988","$16,885","$16,029","$23,763","$15,577","$14,930","$28,438","$18,406","$17,187",202,229,295,Greater than the National Average Payment,No Different than the National Average Payment,Greater than the National Average Payment
360055,2014,24059,NULL,NULL,21770,NULL,NULL,26582,NULL,NULL,148,NULL,NULL,Greater than the National Average Payment,NULL,NULL
360056,2015,"$22,545","$15,412","$15,654","$20,606","$14,524","$14,726","$24,497","$16,385","$16,608",197,486,421,No Different than the National Average Payment,No Different than the National Average Payment,Greater than the National Average Payment
360058,2015,"$21,033","$14,034","$15,348","$18,132","$12,424","$13,925","$24,457","$15,942","$16,862",37,82,153,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
360059,2016,"$22,690","$15,356","$15,057","$20,274","$14,256","$13,620","$25,290","$16,601","$16,516",101,289,144,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
360064,2014,22763,NULL,NULL,21122,NULL,NULL,24426,NULL,NULL,316,NULL,NULL,No Different than the National Average Payment,NULL,NULL
360068,2016,"$23,590","$17,722","$16,291","$22,253","$16,782","$15,179","$25,030","$18,725","$17,383",515,590,314,No Different than the National Average Payment,Greater than the National Average Payment,Greater than the National Average Payment
360070,2015,"$24,080","$17,211","$16,185","$22,170","$16,163","$15,237","$26,105","$18,415","$17,182",261,418,392,Greater than the National Average Payment,Greater than the National Average Payment,Greater than the National Average Payment
360072,2014,22766,NULL,NULL,20948,NULL,NULL,24706,NULL,NULL,249,NULL,NULL,No Different than the National Average Payment,NULL,NULL
360074,2014,22226,NULL,NULL,19722,NULL,NULL,24932,NULL,NULL,94,NULL,NULL,No Different than the National Average Payment,NULL,NULL
360075,2016,"$25,310","$18,025","$16,137","$22,769","$16,691","$14,856","$28,437","$19,493","$17,392",94,283,206,Greater than the National Average Payment,Greater than the National Average Payment,Greater than the National Average Payment
360076,2016,"$23,917","$18,711","$16,377","$21,864","$17,315","$15,240","$26,142","$20,195","$17,472",203,271,325,No Different than the National Average Payment,Greater than the National Average Payment,Greater than the National Average Payment
360077,2014,22455,NULL,NULL,20662,NULL,NULL,24436,NULL,NULL,203,NULL,NULL,No Different than the National Average Payment,NULL,NULL
360079,2015,"$23,102","$17,145","$15,317","$21,282","$16,067","$14,194","$25,123","$18,318","$16,436",223,433,257,No Different than the National Average Payment,Greater than the National Average Payment,No Different than the National Average Payment
360080,2014,20469,NULL,NULL,18175,NULL,NULL,22981,NULL,NULL,72,NULL,NULL,No Different than the National Average Payment,NULL,NULL
360081,2016,"$22,449","$16,418","$16,413","$19,909","$15,230","$15,100","$25,302","$17,704","$17,782",68,277,204,No Different than the National Average Payment,No Different than the National Average Payment,Greater than the National Average Payment
360082,2016,"$24,178","$18,141","$16,378","$20,912","$16,451","$14,904","$28,097","$19,894","$17,877",25,181,160,No Different than the National Average Payment,Greater than the National Average Payment,Greater than the National Average Payment
360085,2015,"$22,618","$16,616","$15,852","$20,981","$15,711","$14,775","$24,290","$17,627","$16,890",319,519,313,No Different than the National Average Payment,Greater than the National Average Payment,Greater than the National Average Payment
360086,2015,"$25,338","$17,785","$15,549","$23,184","$16,619","$14,612","$27,754","$19,050","$16,538",220,360,392,Greater than the National Average Payment,Greater than the National Average Payment,Greater than the National Average Payment
360087,2014,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Number of Cases Too Small,NULL,NULL
360089,2014,20850,NULL,NULL,17872,NULL,NULL,24306,NULL,NULL,28,NULL,NULL,No Different than the National Average Payment,NULL,NULL
36008F,2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
360090,2014,21526,NULL,NULL,20000,NULL,NULL,23191,NULL,NULL,256,NULL,NULL,No Different than the National Average Payment,NULL,NULL
360092,2014,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Not Available,NULL,NULL,Number of Cases Too Small,NULL,NULL
360095,2016,"$22,132","$16,331","$14,931","$20,244","$15,142","$13,846","$24,342","$17,710","$15,988",152,266,284,No Different than the National Average Payment,No Different than the National Average Payment,No Different than the National Average Payment
360098,2016,"$22,139","$16,898","$15,895","$20,549","$16,030","$15,093","$23,764","$17,784","$16,723",284,728,610,No Different than the National Average Payment,Greater than the National Average Payment,Greater than the National Average Payment
